"lang"
{
	"Language"      "English"
		"DOTA_Tooltip_ability_my_debuff_Description"		"Reduce Allies Damage by 10."
		"DOTA_Tooltip_my_debuff_aura"						"Weakening Aura"
		"DOTA_Tooltip_my_debuff_aura_Description"			"Damage Reduce by 10."
        "npc_dota_custom_creep_2_1" "Zombie"
        "npc_dota_custom_creep_2_2" "Huge Zombie"
        "npc_dota_custom_creep_2_3" "Huge Zombie"
		"DOTA_Tooltip_ability_my_str_steel"					"Decay"
		"DOTA_Tooltip_ability_my_str_steel_Description"		"Each Hit Reduce Target's Strength By 1."
		"DOTA_Tooltip_my_str_debuff"						"Decay"
		"DOTA_Tooltip_my_str_debuff_Description"			"Strength Reduced by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%."
        "npc_dota_custom_creep_3_1" "Evil Ogre"
        "npc_dota_custom_creep_3_2" "Evil Ogre"
		"DOTA_Tooltip_ability_my_death_puls"				"Death Rattle"
		"DOTA_Tooltip_ability_my_death_puls_Description"	"Restore 50 Health to All Allies After Death and Increases Attack and Defense by 5 and 2  Respectively."
        "npc_dota_custom_creep_4_1" "Golem"
        "npc_dota_custom_creep_4_2" "Golem"
		"npc_dota_custom_creep_4_1_1" "Golem"
		"npc_dota_custom_creep_4_1_2" "Golem"
		"npc_dota_custom_creep_4_2_1" "Golem"
		"npc_dota_custom_creep_4_2_2" "Golem"
		"DOTA_Tooltip_ability_my_create_dva_new_2_2"				"Shard Split"
		"DOTA_Tooltip_ability_my_create_dva_new_2_2_Description"	"Splits into Three Golems After Death."
		"DOTA_Tooltip_ability_my_create_dva_new_2_1"				"Shard Split"
		"DOTA_Tooltip_ability_my_create_dva_new_2_1_Description"	"Splits into Three Golems After Death."
		"DOTA_Tooltip_ability_my_create_dva_new_1_2"				"Shard Split"
		"DOTA_Tooltip_ability_my_create_dva_new_1_2_Description"	"Splits into Three Golems After Death."
		"DOTA_Tooltip_ability_my_create_dva_new_1_1"				"Shard Split"
		"DOTA_Tooltip_ability_my_create_dva_new_1_1_Description"	"Splits into Three Golems After Death."
        "npc_dota_custom_creep_5_1" "Lizard Chieftain"
        "npc_dota_custom_creep_5_2" "Spirit"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven"				"Spirits"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_Description"	"Summons five spirits that circle around the hero. When colliding with an enemy hero, the spirit explodes, dealing damage to all creatures in the area around the explosion and slowing them down. When faced with a creep, the spirit deals some damage, but does not explode."
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_hero_damage"				"HERO DAMAGE:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_min_range"				"MIN RANGE:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_max_range"				"MAX RANGE:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_hero_hit_radius"			"HERO HIT RADIUS:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_explode_radius"			"EXPLODE RADIUS:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_hit_radius"				"HIT RADIUS:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_num_spirits"				"NUM SPIRITS:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_spirit_summon_interval"	"SPIRIT SUMMON INTERVAL:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_spirit_turn_rate"			"SPIRIT TURN RATE:"
		"DOTA_Tooltip_ability_wisp_spirits_datadriven_think_interval"			"THINK INTERVAL:"
		"DOTA_Tooltip_ability_my_boss_create_minions"							"Minions"
		"DOTA_Tooltip_ability_my_boss_create_minions_Description"				""
        "npc_dota_custom_creep_6_1" "Huge Centaur"
        "npc_dota_custom_creep_6_2" "Centaur"
        "npc_dota_custom_creep_6_3" "Huge Centaur"
		"DOTA_Tooltip_ability_my_cent"											"Hoof Stomp"
		"DOTA_Tooltip_ability_my_cent_Description"								"Deal %damage% Damage Within %radius%."
        "npc_dota_custom_creep_7_1" "Hidden Beetle"
        "npc_dota_custom_creep_7_2" "Hidden Beetle"
		"DOTA_Tooltip_ability_my_invisibility"									"Invisibility"
		"DOTA_Tooltip_ability_my_invisibility_Description"						"Invisible"
        "npc_dota_custom_creep_8_1" "Sharp-eyed Cat"
        "npc_dota_custom_creep_8_2" "Angry Fuzzy"
        "npc_dota_custom_creep_8_3" "Sharp-eyed Cat"
		"DOTA_Tooltip_ability_bandit_archer_arrow"                                        "Arrow"
		"DOTA_Tooltip_ability_bandit_archer_arrow_Description"                            ""
		"DOTA_Tooltip_ability_bandit_archer_arrow_attack_distance"                        "ATTACK DISTANCE:"
		"DOTA_Tooltip_ability_bandit_archer_arrow_attack_damage"                          "DAMAGE:"
        "npc_dota_custom_creep_9_1" "Creepy Arachnia"
        "npc_dota_custom_creep_9_2" "Arachnid"
        "npc_dota_custom_creep_9_3" "Spiderling"
		"DOTA_Tooltip_ability_my_spider_create_minions"                                   "Summon Spiders"
		"DOTA_Tooltip_ability_my_spider_create_minions_Description"                       ""
		"DOTA_Tooltip_ability_my_broodmother_incapacitating_bite"                         "Incapacitating Bite"
		"DOTA_Tooltip_ability_my_broodmother_incapacitating_bite_Description"             "Broodmother's venom cripples enemy units, causing her attacks to slow and giving the affected unit a chance to miss its attacks."
		"DOTA_Tooltip_ability_my_broodmother_incapacitating_bite_miss_chance"             "MISS CHANCE:"
		"DOTA_Tooltip_ability_my_broodmother_incapacitating_bite_bonus_movespeed"         "SLOW:"
		"DOTA_Tooltip_ability_my_broodmother_incapacitating_bite_duration"                "DURATION:"
        "npc_dota_custom_creep_10_1" "Majestic Titan"
        "npc_dota_custom_creep_10_2" "Stone Column"
		"DOTA_Tooltip_ability_my_lava_boom"                                               "Lava Explosions"
		"DOTA_Tooltip_ability_my_lava_boom_Description"                                   ""
		"DOTA_Tooltip_ability_my_lava_boom_delay"                                         "DELAY:"
		"DOTA_Tooltip_ability_my_lava_boom_radius"                                        "RADIUS:"
		"DOTA_Tooltip_ability_my_lava_boom_blast_damage"                                  "BLAST DAMAGE:"
		"DOTA_Tooltip_ability_my_lava_boom_channel_duration"                              "CHANNEL DURATION:"
		"DOTA_Tooltip_ability_my_lava_boom_interval"                                      "INTERVAL:"
		"DOTA_Tooltip_ability_ogre_tank_jump_smash"                                       "Jump Smash"
		"DOTA_Tooltip_ability_ogre_tank_jump_smash_Description"                           "Deals damage and stuns all enemies within a radius."
		"DOTA_Tooltip_ability_ogre_tank_jump_smash_impact_radius"                         "RADIUS:"
		"DOTA_Tooltip_ability_ogre_tank_jump_smash_stun_duration"                         "STUN DURATION:"
		"DOTA_Tooltip_ability_ogre_tank_jump_smash_damage"                                "DAMAGE:"
		"DOTA_Tooltip_ability_my_fisure"                                                  "Fissure"
		"DOTA_Tooltip_ability_my_fisure_Description"                                      "The hero smashes the earth with a powerful totem, while stunning enemies standing in its way and dealing them damage."
		//"DOTA_Tooltip_ability_my_fisure_duration"                                         "DURATION:"
		"DOTA_Tooltip_ability_my_fisure_path_radius"                                      "PATH RADIUS:"
		"DOTA_Tooltip_ability_my_fisure_damage"                                           "DAMAGE:"
        "npc_dota_custom_creep_11_1" "Ravenous Bear"
        "npc_dota_custom_creep_11_2" "Ravenous Bear"
		"DOTA_Tooltip_ability_ursa_fury_swipes_datadriven"                                "Fury Swipes"
		"DOTA_Tooltip_ability_ursa_fury_swipes_datadriven_Description"                    "Ursa's claws dig deeper wounds in the enemy, causing consecutive attacks to the same enemy to deal more damage.  If the same target is not attacked after %bonus_reset_time% seconds, the bonus damage is lost."
		"DOTA_Tooltip_ability_ursa_fury_swipes_datadriven_bonus_reset_time"               "DURATION:"
		"DOTA_Tooltip_ability_ursa_fury_swipes_datadriven_damage_per_stack"               "DAMAGE PER STACK:"
        "npc_dota_custom_creep_12_1" "Toxic Drake"
        "npc_dota_custom_creep_12_2" "Toxic Drake"
        "npc_dota_custom_creep_12_3" "Huge Satyr"
		"DOTA_Tooltip_ability_my_macropyre_datadriven"                                    "Macropyre"
		"DOTA_Tooltip_ability_my_macropyre_datadriven_Description"                        "The hero spews a wide stream of liquid flame, which lasts for a while and deals damage to enemy creatures every second."
		//"DOTA_Tooltip_ability_my_macropyre_datadriven_tooltip_duration"                   "DURATION:"
		"DOTA_Tooltip_ability_my_macropyre_datadriven_damage"                             "DAMAGE:"
		"DOTA_Tooltip_ability_my_macropyre_datadriven_cast_range"                         "CAST RANGE:"
		"DOTA_Tooltip_ability_my_macropyre_datadriven_duration"                           "DURATION:"
		"DOTA_Tooltip_ability_my_macropyre_datadriven_path_radius"                        "PATH RADIUS:"
		//"DOTA_Tooltip_ability_my_macropyre_datadriven_burn_interval"                      "BURN INTERVAL:"
        "npc_dota_custom_creep_13_1" "Forest Druid"
        "npc_dota_custom_creep_13_2" "Enraged Bear"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven"                         "True Form"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_Description"             "The hero gains the ability to transform into an angry bear. At the same time, he moves more slowly, but his attacks become stronger."
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_base_attack_time"        "BASE ATTACK TIME:"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_bonus_armor"             "BONUS ARMOR:"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_speed_loss"              "SPEED LOSS:"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_transformation_time"     "TRANSFORMATION TIME:"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_mag_resist"              "BONUS MAG RESIST:"
		"DOTA_Tooltip_ability_my_lone_druid_true_form_datadriven_bonus_damage"            "BONUS DAMAGE:"
        "npc_dota_custom_creep_14_1" "Immortal Drake"
        "npc_dota_custom_creep_14_2" "Immortal Drake"
		"DOTA_Tooltip_ability_my_borrowed_time_datadriven"                                "Borrowed Time"
		"DOTA_Tooltip_ability_my_borrowed_time_datadriven_Description"                    "When activated, all damage dealt to you will heal instead of harm. Most negative buffs will also be removed. If the ability is not on cooldown, it will automatically activate if your health falls below %hp_threshold%."
		//"DOTA_Tooltip_ability_my_borrowed_time_datadriven_hp_threshold"                   "HP THRESHOLD:"
		"DOTA_Tooltip_ability_my_borrowed_time_datadriven_duration"                       "DURATION:"
        "npc_dota_custom_creep_15_1" "King of Titan"
        "npc_dota_custom_creep_16_1" "Secret Assassin"
        "npc_dota_custom_creep_16_2" "Secret Assassin"
		"DOTA_Tooltip_ability_my_miss"													"Miss"
		//"DOTA_Tooltip_ability_my_miss_Description"									""
		"DOTA_Tooltip_ability_my_miss_bonus_evasion"									"%BONUS EVASION:"
        "npc_dota_custom_creep_17_1" "Ice Lich"
        "npc_dota_custom_creep_17_2" "Northern Wolf"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven"                                  "Chain Frost"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_Description"                      "Creates an ice ball that bounces off opponents up to %jumps% times, slowing them down and dealing damage to them."
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_jumps"                            "JUMPS:"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_slow_duration"                    "SLOW DURATION:"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_slow_movement_speed"              "SLOW MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_slow_attack_speed"                "SLOW ATTACK SPEED:"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_jump_range"                       "JUMP RANGE:"
		"DOTA_Tooltip_ability_my_chain_frost_datadriven_damage"                           "DAMAGE:"
        "npc_dota_custom_creep_18_1" "Great Caster"
        "npc_dota_custom_creep_18_2" "Great Caster"
		"DOTA_Tooltip_ability_my_global_silence"                                          "Global Silence"
		"DOTA_Tooltip_ability_my_global_silence_Description"                              "All Opponents Are Silenced."
        "npc_dota_custom_creep_19_1" "Furious Ogre"
        "npc_dota_custom_creep_19_2" "Furious Ogre"
        "npc_dota_custom_creep_20_1" "Phoenix"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven"                                 "Sun Ray"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_Description"                     "The hero lets out a ray of light. The beam deals damage to enemies and heals allies for a certain number plus a percentage of the total health. This percentage is higher the longer the beam is applied."
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_hp_cost_perc_per_second"         "HP COST PERC PER SECOND:"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_base_dmg"                        "BASE DMG:"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_hp_perc_dmg"                     "HP PERC DMG:"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_ally_heal"                       "ALLY HEAL:"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_radius"                          "RADIUS:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_tick_interval"                   "TICK INTERVAL:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_forward_move_speed"              "FORWARD MOVE SPEED:"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_beam_range"                      "BEAM RANGE:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_turn_rate_initial"               "TURN RATE INITIAL:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_turn_rate"                       "TURN RATE:"
		"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_tooltip_duration"                "DURATION:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_num_thinkers"                    "NUM THINKERS:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_thinker_step"                    "THINKER STEP:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_thinker_radius"                  "THINKER RADIUS:"
		//"DOTA_Tooltip_ability_phoenix_sun_ray_datadriven_initial_turn_max_duration"       "INITIAL TURN MAX DURATION:"
		"DOTA_Tooltip_ability_phoenix_supernova_datadriven"                               "Supernova"
		"DOTA_Tooltip_ability_phoenix_supernova_datadriven_Description"                   "Phoenix is reborn completely restoring its health."
		"DOTA_Tooltip_ability_phoenix_supernova_datadriven_aura_radius"                   "RADIUS:"
		"DOTA_Tooltip_ability_phoenix_supernova_datadriven_damage_per_sec"                "DAMAGE PER SEC:"
		"DOTA_Tooltip_ability_phoenix_supernova_datadriven_stun_duration"                 "STUN DURATION:"
		//"DOTA_Tooltip_ability_phoenix_supernova_datadriven_max_hero_attacks"              "MAX HERO ATTACKS:"
		"DOTA_Tooltip_ability_phoenix_supernova_datadriven_tooltip_duration"              "DURATION:"
		//"DOTA_Tooltip_ability_phoenix_supernova_datadriven_cast_range_tooltip_scepter"    "CAST RANGE TOOLTIP SCEPTER:"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_datadriven"                      "Launch Fire Spirit"
		"DOTA_Tooltip_ability_phoenix_launch_fire_spirit_datadriven_Description"          ""
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven"                            "Fire Spirits"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_Description"                "Summons fire spirits that circle around the hero. Each of them can be released separately at the specified point. After reaching it, the spirit will set fire to all enemies around it, dealing them periodic damage and reducing their attack speed."
		//"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_hp_cost_perc"               "HP COST PERC:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_spirit_duration"            "SPIRIT DURATION:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_spirit_speed"               "SPIRIT SPEED:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_radius"                     "RADIUS:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_duration"                   "DURATION:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_attackspeed_slow"           "ATTACKSPEED SLOW:"
		"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_dps"                        "DPS:"
		//"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_spirit_count"               "SPIRIT COUNT:"
		//"DOTA_Tooltip_ability_phoenix_fire_spirits_datadriven_tick_interval"              "TICK INTERVAL:"
        "npc_dota_custom_creep_21_1" "Thief-Assassin"
        "npc_dota_custom_creep_21_2" "Thief-Assassin"
        "npc_dota_custom_creep_21_3" "Thief-Assassin"
        "npc_dota_custom_creep_22_1" "Ancient Demon"
        "npc_dota_custom_creep_22_2" "Ancient Demon"
        "npc_dota_custom_creep_22_3" "Ancient Demon"
        "npc_dota_custom_creep_23_1" "Warrior from Hell"
        "npc_dota_custom_creep_23_2" "Spooky Shooter"
        "npc_dota_custom_creep_23_3" "Spooky shooter"
        "npc_dota_custom_creep_24_1" "Dangerous Golem"
        "npc_dota_custom_creep_24_2" "Dangerous Golem"
        "npc_dota_custom_creep_24_3" "Bloody Pathfinder"
        "npc_dota_custom_creep_25_1" "Deadly Beetle"
        "npc_dota_custom_creep_26_1" "Warrior of Thunder"
        "npc_dota_custom_creep_26_2" "Warrior of Thunder"
        "npc_dota_custom_creep_26_3" "Warrior of Thunder"
        "npc_dota_custom_creep_27_1" "Experienced Pathfinder"
        "npc_dota_custom_creep_27_2" "Experienced Pathfinder"
        "npc_dota_custom_creep_27_3" "Experienced Pathfinder"
        "npc_dota_custom_creep_28_1" "Warrior of Pain"
        "npc_dota_custom_creep_28_2" "Warrior of Pain"
        "npc_dota_custom_creep_28_3" "Huskar"
        "npc_dota_custom_creep_29_1" "Young Drake"
        "npc_dota_custom_creep_29_1_1" "Young Drake"
        "npc_dota_custom_creep_29_1_2" "Young Drake"
        "npc_dota_custom_creep_29_2" "Hardened Drake"
        "npc_dota_custom_creep_29_3" "Ravenous Drake"
        "npc_dota_custom_creep_29_4" "Legendary Drake"
        "npc_dota_custom_creep_30_1" "Horseman of The Devil"
		"DOTA_Tooltip_ability_chaos_bolt_datadriven"							"Chaos Bolt"
		"DOTA_Tooltip_ability_chaos_bolt_datadriven_Description"				"Releases a mysterious energy charge at all enemies within 300 meters of the nearest one, stunning them for a random amount of time and dealing random damage."
		"DOTA_Tooltip_ability_chaos_bolt_datadriven_chaos_bolt_speed"			"CHAOS BOLT SPEED:"
		"DOTA_Tooltip_ability_chaos_bolt_datadriven_stun_min"					"STUN MIN:"
		"DOTA_Tooltip_ability_chaos_bolt_datadriven_stun_max"					"STUN MAX:"
		"DOTA_Tooltip_ability_chaos_bolt_datadriven_damage_min"					"DAMAGE MIN:"
		"DOTA_Tooltip_ability_chaos_bolt_datadriven_damage_max"					"DAMAGE MAX:"
		"DOTA_Tooltip_ability_my_spectre_haunt"									"Haunt"
		"DOTA_Tooltip_ability_my_spectre_haunt_Description"						""
		"DOTA_Tooltip_ability_my_spectre_haunt_duration"						"DURATION:"
		"DOTA_Tooltip_ability_my_spectre_haunt_illusion_damage_outgoing"		"ILLUSION DAMAGE OUTGOING:"
		"DOTA_Tooltip_ability_my_spectre_haunt_illusion_damage_incoming"		"ILLUSION DAMAGE INCOMING:"
        "npc_dota_custom_creep_31_1" "Crazy Fighter"
        "npc_dota_custom_creep_31_2" "Crazy Fighter"
