"lang"
{
    "Language"	    "german"
        "npc_dota_custom_creep_10_1" "Mächtiges Titan"
        "npc_dota_custom_creep_10_2" "Steinsäule"
        "npc_dota_custom_creep_11_1" "Räuberischer Bär"
        "npc_dota_custom_creep_11_2" "Räuberischer Bär"
        "npc_dota_custom_creep_12_1" "Giftige Eidechse"
        "npc_dota_custom_creep_12_2" "Giftige Eidechse"
        "npc_dota_custom_creep_12_3" "Kolossal-Satyr"
        "npc_dota_custom_creep_13_1" "Walddruide"
        "npc_dota_custom_creep_13_2" "Wütender Bär"
        "npc_dota_custom_creep_14_1" "Unsterblicher Dinosaurier"
        "npc_dota_custom_creep_14_2" "Unsterblicher Dinosaurier"
        "npc_dota_custom_creep_15_1" "König der Titanen"
        "npc_dota_custom_creep_16_1" "Geheimnisvoller Mörder"
        "npc_dota_custom_creep_16_2" "Geheimnisvoller Mörder"
        "npc_dota_custom_creep_17_1" "Eis Lich"
        "npc_dota_custom_creep_17_2" "Nördlicher Wolf"
        "npc_dota_custom_creep_18_1" "Großer Exorzist"
        "npc_dota_custom_creep_18_2" "Großer Exorzist"
        "npc_dota_custom_creep_19_1" "Wilder Oger"
        "npc_dota_custom_creep_19_2" "Wilder Oger"
        "npc_dota_custom_creep_20_1" "Feuervogel"
        "npc_dota_custom_creep_21_1" "Dieb-Killer"
        "npc_dota_custom_creep_21_2" "Dieb-Killer"
        "npc_dota_custom_creep_21_3" "Dieb-Killer"
        "npc_dota_custom_creep_22_1" "Alter Dämon"
        "npc_dota_custom_creep_22_2" "Alter Dämon"
        "npc_dota_custom_creep_22_3" "Alter Dämon"
        "npc_dota_custom_creep_23_1" "Krieger aus der Hölle"
        "npc_dota_custom_creep_23_2" "Gruseliger Shooter"
        "npc_dota_custom_creep_23_3" "Gruseliger Shooter"
        "npc_dota_custom_creep_24_1" "Bedrohlich Golem"
        "npc_dota_custom_creep_24_2" "Bedrohlich Golem"
        "npc_dota_custom_creep_24_3" "Blutiger Verfolger"
        "npc_dota_custom_creep_25_1" "Tödlicher Käfer"
        "npc_dota_custom_creep_26_1" "Donnerkrieger"
        "npc_dota_custom_creep_26_2" "Donnerkrieger"
        "npc_dota_custom_creep_26_3" "Donnerkrieger"
        "npc_dota_custom_creep_27_1" "Erfahrener Tracker"
        "npc_dota_custom_creep_27_2" "Erfahrener Tracker"
        "npc_dota_custom_creep_27_3" "Erfahrener Tracker"
        "npc_dota_custom_creep_28_1" "Krieger des Schmerzes"
        "npc_dota_custom_creep_28_2" "Krieger des Schmerzes"
        "npc_dota_custom_creep_28_3" "Krieger des Schmerzes"
        "npc_dota_custom_creep_29_1" "Junger Echse"
        "npc_dota_custom_creep_29_1_1" "Junger Echse"
        "npc_dota_custom_creep_29_1_2" "Junger Echse"
        "npc_dota_custom_creep_29_2" "Starke Echse"
        "npc_dota_custom_creep_29_3" "Räuberische Echse"
        "npc_dota_custom_creep_29_4" "Legendäre Echse"
        "npc_dota_custom_creep_30_1" "Teufels Reiter"
        "npc_dota_custom_creep_31_1" "Verrücktes Militär"
        "npc_dota_custom_creep_31_2" "Verrücktes Militär"
        "npc_dota_custom_creep_31_3" "Verrücktes Militär"
        "npc_dota_custom_creep_31_4" "Feuerdämon"
        "npc_dota_custom_creep_32_1" "Spike-Krieger"
        "npc_dota_custom_creep_32_2" "Spike-Krieger"
        "npc_dota_custom_creep_32_3" "Spike-Krieger"
        "npc_dota_custom_creep_33_1" "Antimagischer Golem"
        "npc_dota_custom_creep_33_2" "Antimagischer Golem"
        "npc_dota_custom_creep_33_3" "Antimagischer Golem"
        "npc_dota_custom_creep_34_1" "Geheimnisvoller Satyr"
        "npc_dota_custom_creep_34_2" "Geheimnisvoller Satyr"
        "npc_dota_custom_creep_34_3" "Geheimnisvoller Satyr"
        "npc_dota_custom_creep_35_1" "Brillanter Ingenieur"
        "npc_dota_custom_creep_36_1" "?"
        "npc_dota_custom_creep_36_2" "?"
        "npc_dota_custom_creep_37_1" "?"
        "npc_dota_custom_creep_37_2" "?"
        "npc_dota_custom_creep_38_1" "?"
        "npc_dota_custom_creep_38_2" "?"
        "npc_dota_custom_creep_39_1" "?"
        "npc_dota_custom_creep_39_2" "?"
        "npc_dota_custom_creep_40_1" "Fremdartiger Geist"
        "npc_dota_custom_creep_41_1" "?"
        "npc_dota_custom_creep_41_2" "?"
        "npc_dota_custom_creep_42_1" "?"
        "npc_dota_custom_creep_42_2" "?"
        "npc_dota_custom_creep_43_1" "?"
        "npc_dota_custom_creep_43_2" "?"
        "npc_dota_custom_creep_44_1" "?"
        "npc_dota_custom_creep_44_2" "?"
        "npc_dota_custom_creep_45_1" "Uralter Zauberer"
        "npc_dota_custom_creep_45_2" "Saubere Energie"
        
		"npc_dota_venomancer_plague_ward_5"                                               "Plague Ward"
		"npc_dota_venomancer_plague_ward_6"                                               "Plague Ward"
		"npc_dota_venomancer_plague_ward_7"                                               "Plague Ward"
		"npc_my_dalon"                                                                    ""
		"npc_dota_lycan_wolf5"                                                            "Lycan Wolf"
		"npc_dota_lycan_wolf6"                                                            "Lycan Wolf"
		"npc_dota_lycan_wolf7"                                                            "Lycan Wolf"
        
        //###############################################################################################################################
        
        "DOTA_Tooltip_Ability_my_clinkz_pass"            "Dämonische Flamme"
        "DOTA_Tooltip_Ability_my_clinkz_pass_Description"            "<font color='#70EA72'>Clinkz bekommt extra Gesundheit und extra Schaden.</font>"
        "DOTA_Tooltip_Ability_my_clinkz_pass_damage"            "EXTR. SCHADEN:"
        "DOTA_Tooltip_Ability_my_clinkz_pass_health"            "EXTR. GESUNDHEIT:"
        
        "DOTA_Tooltip_Ability_my_ice_boom_ult"            "Winterfluch"
        "DOTA_Tooltip_Ability_my_ice_boom_ult_Description"            "<font color='#70EA72'>Winter Wyvern erzeugt an seiner Stelle eine Explosion, die den Effekt "Frostbite" aller Gegner in einem Umkreis von 1000 verursacht. Gegner mit diesem Effekt erhalten periodischen Schaden.</font>"
        "DOTA_Tooltip_Ability_my_ice_boom_ult_damage"            "SCHADEN:"
        "DOTA_Tooltip_Ability_my_ice_boom_ult_duration"            "DAUER:"
        //"DOTA_Tooltip_my_ice_boom_ult_debuff"	"???"
        //"DOTA_Tooltip_my_ice_boom_ult_debuff_Description"	"???"
        
        "DOTA_Tooltip_ability_holdout_gladiators_unite" 	"Gladiatoren, vereinen!"
        "DOTA_Tooltip_ability_holdout_gladiators_unite_Description"	"<font color='#70EA72'>Der Held ruft die Verbündeten auf, in der Arena Seite an Seite zu kämpfen. Jeder verbündete Held, der die Arena betritt, fügt den anderen Kämpfern in der Arena zusätzlichen Schaden, Rüstung und Vampirismus hinzu.</font>"
        "DOTA_Tooltip_ability_holdout_gladiators_unite_bonus_armor_per_hero"	"EXTR. RÜSTUNG FÜR EINEN HELD:"
        "DOTA_Tooltip_ability_holdout_gladiators_unite_bonus_damage_per_hero"	"EXTR. SCHADEN FÜR EINEN HELD:"
        "DOTA_Tooltip_ability_holdout_gladiators_unite_lifesteal_per_hero"	"%VAMPIRISMUS FÜR EINEN HELD:"
        "DOTA_Tooltip_ability_holdout_gladiators_unite_duration"	"DAUER:"
        "DOTA_Tooltip_ability_holdout_gladiators_unite_radius"	"RADIUS:"
        "DOTA_Tooltip_modifier_holdout_gladiators_unite"	"Gladiatoren, vereinen!"
        "DOTA_Tooltip_modifier_holdout_gladiators_unite_Description"	"Rüstung um %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% erhöht, Schaden um %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% erhöht. Erhalten Sie %dMODIFIER_PROPERTY_TOOLTIP%%% Vampirismus von physischen Angriffen."
        
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout"	"Ablenkung"
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout_Lore"	"Mit seinen psionischen Kräften unterwirft Lanai die Gesetze der Natur seinem Willen."
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout_Description"	"<font color='#70EA72'>Der Held umgibt sich mit einem Schutzfeld, das Schaden absorbiert und seine Angriffe verstärkt.</font>"
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout_Note0"	"Schaden, der Gesundheit direkt nimmt, geht durch diese Fähigkeit."
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout_damage_absorb"	"%SCHADENSABSORPTION:"
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout_bonus_damage"	"%EXTR. SCHADEN::"
        "DOTA_Tooltip_ability_templar_assassin_refraction_holdout_duration"	"DAUER:"
        
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017"	"Blutegel Samen"
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017_Description"	"<font color='#70EA72'>Wenn die Fähigkeit nicht wieder aufgeladen wird, wird der Held seines nächsten Angriffs einen Samen in den Körper des Opfers pflanzen, was das Ziel verlangsamt und ihm seine Gesundheit nimmt. Der Samen heilt alle Verbündeten in der Nähe. Impulse 6 mal."
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017_Lore"	"Ruftrelen nährt die alliierten Wesen und schöpft Vitalität aus den Eindringlingen, die sein heiliges Land betreten."
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017_leech_damage"	"SCHADEN FÜR EINEN IMPULSE:"
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017_movement_slow"	"%ZEITLUPE:"
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017_radius"	"RADIUS:"
        "DOTA_Tooltip_ability_treant_leech_seed_nb2017_duration"	"DAUER:"

        "DOTA_Tooltip_ability_treant_great_protector"	"Großer Beschützer"
        "DOTA_Tooltip_ability_treant_great_protector_Description"	"Der Held wächst in den Boden und nimmt an Größe zu, erhält einen erheblichen Bonus auf Stärke und verliert an Geschwindigkeit."
        "DOTA_Tooltip_ability_treant_great_protector_bonus_strength"	"EXTR. STÄRKE:"
        "DOTA_Tooltip_ability_treant_great_protector_move_speed"	"BEWEGUNGSGESCHWINDIGKEIT:"
        "DOTA_Tooltip_ability_treant_great_protector_duration"	"DAUER:"
        
        "DOTA_Tooltip_ability_holdout_glacier_arrows"	"Frostpfeile"
        "DOTA_Tooltip_ability_holdout_glacier_arrows_Description"	"Fügt den Angriffen des Helden einen Frost-Effekt hinzu, der die Bewegung des Gegners verlangsamt.\n\nFrost Arrows — einzigartiger Angriffsmodifikator, wird nicht mit anderen einzigartigen Angriffsmodifikatoren kombiniert."
        "DOTA_Tooltip_ability_holdout_glacier_arrows_Lore"	"Eisbedeckte Pfeile durchdringen die Luft und frieren die Feinde durch und durch."
        "DOTA_Tooltip_ability_holdout_glacier_arrows_Note0"	"Mit jedem Treffer wird der Countdown bis zum Ende der Verlangsamung aktualisiert."
        "DOTA_Tooltip_ability_holdout_glacier_arrows_frost_arrows_movement_speed"	"%BEWEGUNGSGESCHWINDIGKEIT:"
        "DOTA_Tooltip_ability_holdout_glacier_arrows_slow_duration"	"VERLANGSAMUNGSDAUER:"

        "DOTA_Tooltip_ability_holdout_multishot_data"	"Quelling Schuss"
        "DOTA_Tooltip_ability_holdout_multishot_data_Description"	"<font color='#70EA72'>Der Held spaltet magisch seine Pfeile, greift mehrere Ziele an, verursacht aber weniger Schaden.\n\nZusätzliche Ziele sind nicht von Angriffseffekten betroffen. (z.B.kritischer Schaden oder einzigartige Angriffsmodifikatoren.)</font>"
        "DOTA_Tooltip_ability_holdout_multishot_data_range"	"ANGEBOT:"
        "DOTA_Tooltip_ability_holdout_multishot_data_arrow_count"	"ANZAHL DER PFEILE:"
        "DOTA_Tooltip_ability_holdout_multishot_data_damage_modifier_tooltip"	"%SCHADEN:"
        
        "DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017"	"Donnergottes Erlösung"
        "DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_Description"	"<font color='#70EA72'>Erzeugt über jedem verbündeten Helden eine Gewitterwolke, die automatisch die Lightning Bolt des aktuellen Levels auf Gegner in der Nähe anwendet.</font>"
        "DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_Lore"	"Der Herr des Himmels zerschlägt alle, die sich ihm widersetzen, wo auch immer sie sind."
        "DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_cloud_duration"	"DAUER:"
        "DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_cloud_bolt_interval"	"INTERVALL DER TREFFER:"
        
        "DOTA_Tooltip_ability_disruptor_glimpse_nb2017"	"Blick"
        "DOTA_Tooltip_ability_disruptor_glimpse_nb2017_Description"	"Gibt <font color='#70EA72'>alle Feinde im ausgewählten Bereich an, wo sie vor 4 Sekunden waren.</font>"
        "DOTA_Tooltip_ability_disruptor_glimpse_nb2017_Lore"	"Spiele mit Strom bringen manchmal unerwartete Ergebnisse."
        "DOTA_Tooltip_ability_disruptor_glimpse_nb2017_Note0"	"Die Rückkehrzeit des Ziels hängt von der Entfernung ab, die es überwunden hat."
        "DOTA_Tooltip_ability_disruptor_glimpse_nb2017_cast_range"	"BESETZUNG BEREICH:"
        "DOTA_Tooltip_ability_disruptor_glimpse_nb2017_radius"	"RADIUS:"
        
        "DOTA_Tooltip_ability_my_new_disr"	"Beschwörer"
        "DOTA_Tooltip_ability_my_new_disr_Description"	"Wenn Sie die Shadow Poison-Fähigkeit verwenden, wird eine überwachte Einheit angerufen."
        "DOTA_Tooltip_ability_my_new_disr_damage"	"EINHEITSSCHADEN:"
        "DOTA_Tooltip_ability_my_new_disr_health"	"EINHEIT GESUNDHEIT:"
        "DOTA_Tooltip_ability_my_new_disr_max_units"	"MAX.EINHEIT:"
        
        "DOTA_Tooltip_ability_my_new_axe_ult"	"Blutwahnsinn"
        "DOTA_Tooltip_ability_my_new_axe_ult_Description"	"Berechnet für drei Sekunden den erlittenen Schaden, danach erhält Axe zusätzliche Stärke und Rüstung, abhängig vom verursachten Schaden."
        "DOTA_Tooltip_ability_my_new_axe_ult_bonus_armor"	"RÜSTUNG FÜR EINEN SCHADEN:"
        "DOTA_Tooltip_ability_my_new_axe_ult_bonus_str"	"STÄRKE FÜR EINEN SCHADEN:"
        "DOTA_Tooltip_ability_my_new_axe_ult_duration"	"DAUER:"
        //"DOTA_Tooltip_modifier_axe_ult"	"???"
        //"DOTA_Tooltip_modifier_axe_ult_Description"	"???"
        
        //###############################################################################################################################
        
        "DOTA_Tooltip_ability_item_power_dagon" "Eis Dagon"
        "DOTA_Tooltip_ability_item_power_dagon_Description"	"<h1>Aktiviert: Energy Burst</h1> Startet einen mächtigen Energieschub und fügt einer ausgewählten feindlichen Kreatur magischen Schaden zu.<br><br>Schaden: %damage%<br>Reichweite: %range_tooltip%"
        "DOTA_Tooltip_ability_item_power_dagon_Lore"	""
        "DOTA_Tooltip_ability_item_power_dagon_bonus_intellect"	"+$int"
        "DOTA_Tooltip_ability_item_power_dagon_bonus_all_stats"	"+$all"
        "DOTA_Tooltip_ability_item_power_dagon_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_power_dagon_mana"	"+$mana"
        "DOTA_Tooltip_ability_item_power_dagon_hp"	"+$health"
        "DOTA_Tooltip_ability_item_power_dagon_attack_speed"	"+$attack"
        
        "DOTA_Tooltip_ability_item_fire_radiance"   "Dämonisches Schwert"
        "DOTA_Tooltip_ability_item_fire_radiance_Description"	"<h1>Passive: Brennen</h1> Jede Sekunde fügt Gegnern Schaden in Höhe von %aura_damage_per_second% zu und macht sie blind, was dazu führt, dass sie in %blind_pct%%% der Fälle fehlen<br><br>Radius: %aura_radius%\n<h1>Passive: Feuerangriff </h1>Angreifende Gegner setzen sie für %duration% sec in Brand.<br><br>Brandschaden pro Sekunde:%dps%"
        "DOTA_Tooltip_ability_item_fire_radiance_Lore"	"Dämonisches Schwert, umgibt den Besitzer mit einem hellen Schein, der sich in die Asche aller umliegenden Feinde verwandelt."
        "DOTA_Tooltip_ability_item_fire_radiance_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_fire_radiance_armor"	"+$armor"
        "DOTA_Tooltip_ability_item_fire_radiance_hp"	"+$health"
        //"DOTA_Tooltip_modifier_item_radiance_datadriven_damage"	"???"
        //"DOTA_Tooltip_modifier_item_radiance_datadriven_damage_Description"	"???"
        //"DOTA_Tooltip_modifier_item_radiance_datadriven_aura"	"???"
        //"DOTA_Tooltip_modifier_item_radiance_datadriven_aura_Description"	"???"
        
        "DOTA_Tooltip_ability_item_life_greaves"    "Leben Tread"
        "DOTA_Tooltip_ability_item_life_greaves_Description"	"<h1>Aktiviert: Heilen</h1>Stellt allen Verbündeten %heal_amount% Gesundheit und %mana_amount% Mana wieder her, und entfernt auch die meisten negativen Auswirkungen vom Eigentümer.<br><br>Zerstreuen Typ: <span class=\"GameplayValues GameplayVariable\">Regulär</span>\n<h1>Passive: Wächter Aura</h1> Wirkt auf Verbündete um. Erhöht ihre HP Erholung um %aura_health_regen% und Rüstung um %aura_armor%<br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_life_greaves_speed"	"%+$move_speed"
        "DOTA_Tooltip_ability_item_life_greaves_bonus_all_stats"	"+$all"
        "DOTA_Tooltip_ability_item_life_greaves_mana"	"+$mana"
        "DOTA_Tooltip_ability_item_life_greaves_bonus_armor"	"+$armor"
        "DOTA_Tooltip_Ability_item_life_greaves_hp"         "+$health"
        
        "DOTA_Tooltip_ability_item_fire_desol"    "Feuer Desolator"
        "DOTA_Tooltip_ability_item_fire_desol_Description"	"<h1>Passive: Korruption</h1>Angriffe reduzieren die Zielrüstung um %min_armor%. Effekt dauert %duration% Sekunden."
        "DOTA_Tooltip_ability_item_fire_desol_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_fire_desol_magic_res"	"%+$spell_resist"
        "DOTA_Tooltip_ability_item_fire_desol_damage_per"	"%+$damage"
        //"DOTA_Tooltip_modifier_item_fire_desol_minarmor"	"???"
        //"DOTA_Tooltip_modifier_item_fire_desol_minarmor_Description"	"???"
        
        "DOTA_Tooltip_ability_item_water_butterfly"    "Wasser Butterfly"
        "DOTA_Tooltip_ability_item_water_butterfly_Description"	"<h1>Aktiviert: Boost</h1> Gibt dir und allen Verbündeten maximale Geschwindigkeit für 3 Sekunden."
        "DOTA_Tooltip_ability_item_water_butterfly_bonus_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_water_butterfly_agil"	"+$agi"
        "DOTA_Tooltip_ability_item_water_butterfly_int"	"+$int"
        "DOTA_Tooltip_ability_item_water_butterfly_at_speed"	"+$attack"
        "DOTA_Tooltip_ability_item_water_butterfly_speed"	"%+$move_speed"
        "DOTA_Tooltip_ability_item_water_butterfly_miss"	"%+$evasion"
        
        "DOTA_Tooltip_ability_item_shivas_shield"    "Shiva's Schild"
